match,date,home,away,p_home,p_draw,p_away,previsto,actual,acertou,xg_home,xg_away,placar_provavel,home_score,away_score,placar_real,placar_acertou,brier,log_loss,rps
1,11/06/2026,Mexico,South Africa,0.740059719838418,0.1885988610642461,0.0713414190973358,home,home,1,2.1,0.6,2-0,2.0,0.0,2-0,1,0.1082280777240342,0.3010243935558432,0.0363292736646517
2,11/06/2026,South Korea,Czech Republic,0.3408614437037721,0.282052741918914,0.377085814377314,away,home,0,1.2,1.3,0-1,2.0,1.0,2-1,0,0.6562110970248554,1.0762792077197096,0.2883286739004388
3,12/06/2026,Canada,Bosnia and Herzegovina,0.6608861260455032,0.2100701634912827,0.129043710463214,home,draw,0,1.8,0.7,1-0,1.0,1.0,1-1,0,1.0774118974162354,1.5603136922043566,0.2267113754047733
4,12/06/2026,USA,Paraguay,0.4183400161728219,0.2649810259695323,0.3166789578576456,home,home,1,1.3,1.3,1-0,4.0,1.0,4-1,0,0.5088288432595035,0.8714607412968479,0.2193069495678188
5,13/06/2026,Qatar,Switzerland,0.0639304905305845,0.1598935501044425,0.776175959364973,away,draw,0,0.5,2.4,0-2,1.0,1.0,1-1,0,1.312315074671734,1.833246997013685,0.3032681137578086
6,13/06/2026,Brazil,Morocco,0.5017618333786225,0.2651024471663573,0.2331357194550202,home,draw,0,1.5,1.1,1-0,1.0,1.0,1-1,0,0.8461916142821632,1.3276389346231725,0.1530586005606432
7,13/06/2026,Haiti,Scotland,0.1557041334989554,0.2149231080624186,0.6293727584386258,away,away,1,0.9,1.9,0-1,0.0,1.0,0-1,1,0.2078002717552637,0.4630315770828808,0.0808041646880268
8,14/06/2026,Australia,Turkey,0.2091292381503287,0.2816098572026499,0.5092609046470215,away,home,0,0.9,1.6,0-1,2.0,0.0,2-0,0,0.9641273426242792,1.5648028537701455,0.442411615475291
9,14/06/2026,Germany,Curaçao,0.8567925356350066,0.0968060588886434,0.0464014054763499,home,home,1,3.7,0.6,3-0,7.0,1.0,7-1,0,0.0320328813175829,0.1545594717971368,0.0113307341400157
10,14/06/2026,Côte d'Ivoire,Ecuador,0.2344326918229188,0.283240242462667,0.4823270657144141,away,home,0,1.0,1.4,0-1,1.0,0.0,1-0,0,0.8989577366204892,1.450586760770053,0.4093663508350894
11,14/06/2026,Netherlands,Japan,0.5129369392362096,0.2777443858603516,0.2093186749034388,home,draw,0,1.5,0.9,1-0,2.0,2.0,2-2,0,0.8285717834525832,1.2810540635907082,0.1534593056481712
12,14/06/2026,Sweden,Tunisia,0.4272886824433212,0.2740681672156752,0.2986431503410036,home,home,1,1.3,1.1,1-0,5.0,1.0,5-1,0,0.4922993447840655,0.8502954228909245,0.2085929922515531
13,15/06/2026,Belgium,Egypt,0.5434183909760295,0.2734715907408095,0.183110018283161,home,draw,0,1.6,1.0,1-0,1.0,1.0,1-1,0,0.8566763559073263,1.296557535492203,0.1644164132233182
14,15/06/2026,Iran,New Zealand,0.8207518848157016,0.1197386855003834,0.059509429683915,home,draw,0,2.8,0.6,2-0,2.0,2.0,2-2,0,1.4520350104544246,2.122443531494217,0.3385875143249157
15,15/06/2026,Spain,Cabo Verde,0.848344590616175,0.1137569727827474,0.0378984366010776,home,draw,0,3.2,0.5,3-0,0.0,0.0,0-0,0,1.5065515392157312,2.1736909238408075,0.3605624179622657
16,15/06/2026,Saudi Arabia,Uruguay,0.1158069883532047,0.2156109738856748,0.6685820377611204,away,draw,0,0.7,1.9,0-1,1.0,1.0,1-1,0,1.075679344056831,1.5342795419584137,0.2302065998841257
17,16/06/2026,France,Senegal,0.5318954968086737,0.265318878506057,0.2027856246852692,home,home,1,1.6,1.0,1-0,3.0,1.0,3-1,0,0.3306379427787052,0.6313082435064521,0.1301219177434966
18,16/06/2026,Iraq,Norway,0.0962669397418318,0.1896159440931073,0.7141171161650609,away,away,1,0.7,2.1,0-2,1.0,4.0,1-4,0,0.1269505532113591,0.3367083018513317,0.0454981734785193
19,16/06/2026,Argentina,Algeria,0.6628284633582949,0.2306326948739573,0.1065388417677477,home,home,1,1.9,0.8,1-0,3.0,0.0,3-0,0,0.1782266098713657,0.4112390502385017,0.0625175849632709
20,17/06/2026,Austria,Jordan,0.6528703073590304,0.1904419379258674,0.1566877547151022,home,home,1,2.1,0.8,2-0,3.0,1.0,3-1,0,0.1813182077116339,0.4263767799075953,0.072525037995337
